Unique ID,Price,date,Postcode,Property type,old/new,Duration,PAON,SAON,Street,Locality,Town,District,County,Record Status
{D5ACA6F2-BC4C-4A8D-9261-56C287998500},207500,20/04/2012 00:00,BA2 1HE,S,N,F,83,,HILLCREST DRIVE,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{48B379A9-DDF4-40D8-B308-5E5B4BDB2787},213000,30/04/2012 00:00,BA1 2BH,F,N,L,5,GROUND FLOOR FLAT,LITTLE STANHOPE STREET,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{D4B2A2AD-8BA2-48E5-B0A9-6309B0C03FF5},315000,05/04/2012 00:00,BA2 6TA,S,N,F,13,,HARBUTTS,BATHAMPTON,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{4A1CCC69-8B72-4AD5-B319-636762C3EC2A},188000,13/04/2012 00:00,BA2 3QB,F,Y,L,THE OLD METHODIST CHURCH,FLAT 1,WEST AVENUE,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{B38BE500-A2BD-4DA8-B07A-64B1162CF6B1},145000,27/04/2012 00:00,BA1 5BG,F,Y,L,"LADYMEAD HOUSE, 110 - 112",FLAT 15,WALCOT STREET,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{42C89485-863A-413D-A37F-6694B7BD6ABC},262500,02/05/2012 00:00,BA2 2PP,S,N,F,124,,FROME ROAD,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{AA2ABEFA-2FAE-4305-A77C-698E93C053CC},340000,30/04/2012 00:00,BA1 5LZ,T,N,F,1,,HAY HILL,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{920929A8-C762-425E-AB37-6EB31F1301F5},230000,04/05/2012 00:00,BA1 5DZ,F,N,L,1,TOP FLOOR FLAT,BELMONT,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{5920FE0E-DBCE-4F9D-A516-7190A23E1E95},124000,04/05/2012 00:00,BA2 2HU,F,N,L,SOMERSET HOUSE,FLAT 5,MOORFIELDS ROAD,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{BCEB96C6-D8E0-47EC-B5A7-74A796CF33E2},511000,11/05/2012 00:00,BA1 5PP,D,N,F,MOUNT BEACON LODGE,,ST STEPHENS CLOSE,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{8F91752F-E2B8-4B9C-9640-763508216846},307500,27/04/2012 00:00,BA1 4NG,D,N,F,74,,LEIGHTON ROAD,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{868377E1-C134-455D-BD81-76D0077A802F},204000,20/04/2012 00:00,BA2 1HA,T,N,F,3,,COTSWOLD VIEW,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{7A32D7BC-4911-4A1A-A3BA-7959B814B641},215000,04/05/2012 00:00,BA1 2TX,F,N,L,12,SECOND AND THIRD FLOOR MAISONETTE,MARLBOROUGH STREET,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{5CB32E8A-C4E9-4537-8535-8022F749E030},305000,29/03/2012 00:00,BA1 6DP,T,N,F,9,,FRANKLEY TERRACE,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{C7D7EB60-4958-4B6D-B09C-8441A5E3929B},220000,26/04/2012 00:00,BA2 1HR,S,N,F,171,,SOUTHDOWN ROAD,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{49D7E3F2-993A-4417-8294-868882810BFA},200000,01/05/2012 00:00,BA2 6SJ,F,N,L,ABBEYDALE HOUSE,FLAT 3,BATHAMPTON LANE,BATHAMPTON,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{68F2A463-3795-4059-9FF0-8827A3F0FDF6},230000,22/05/2012 00:00,BA1 3EW,T,N,F,9,,CLARENCE PLACE,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{74EFDB00-D491-4D2B-91EF-90F31389FE05},195000,27/04/2012 00:00,BA2 1JG,T,N,F,24,,SOUTHDOWN ROAD,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{06F52884-CE55-4167-8691-9366CBFE87D5},300000,17/05/2012 00:00,BA2 7HR,T,N,F,19,,ST WINIFREDS DRIVE,COMBE DOWN,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
